epoch,time,train/ce_loss,train/dice_loss,train/aux_loss,metrics/mIoU,metrics/pixel_acc,val/ce_loss,val/dice_loss,val/aux_loss,lr/pg0,lr/pg1,lr/pg2
1,93.9952,0.3364,0.56965,0.23952,0.57097,0.98644,0.11715,0.49611,0,0.00055164,0.00055164,0.00055164
2,186.779,0.05336,0.4197,0.05063,0.64707,0.97963,0.05757,0.35507,0,0.00109634,0.00109634,0.00109634
3,280.793,0.02929,0.30044,0.01714,0.66976,0.98488,0.04944,0.30663,0,0.00163005,0.00163005,0.00163005
4,373.722,0.03022,0.26925,0.01202,0.67257,0.98907,0.05165,0.30745,0,0.00161749,0.00161749,0.00161749
5,466.681,0.02936,0.23889,0.01073,0.69967,0.98822,0.0475,0.27483,0,0.00160099,0.00160099,0.00160099
6,559.484,0.02944,0.24699,0.01013,0.70122,0.98925,0.03912,0.27662,0,0.00158448,0.00158448,0.00158448
7,651.817,0.02801,0.24417,0.00938,0.70454,0.99028,0.04203,0.2743,0,0.00156798,0.00156798,0.00156798
8,744.163,0.03052,0.23987,0.00956,0.68691,0.98983,0.04304,0.28987,0,0.00155148,0.00155148,0.00155148
9,836.484,0.02664,0.23147,0.00873,0.70635,0.98808,0.04418,0.26477,0,0.00153497,0.00153497,0.00153497
10,928.832,0.02765,0.22463,0.00902,0.70741,0.98985,0.04702,0.26994,0,0.00151847,0.00151847,0.00151847
11,1021.21,0.0297,0.23466,0.00923,0.70983,0.98943,0.04329,0.26545,0,0.00150197,0.00150197,0.00150197
12,1113.58,0.0279,0.22087,0.00919,0.70019,0.9881,0.046,0.27106,0,0.00148546,0.00148546,0.00148546
13,1205.89,0.02863,0.22367,0.00917,0.70534,0.98857,0.04665,0.27001,0,0.00146896,0.00146896,0.00146896
14,1298.25,0.02652,0.21641,0.00847,0.71025,0.98966,0.04343,0.26954,0,0.00145246,0.00145246,0.00145246
15,1390.61,0.02733,0.22672,0.00859,0.70407,0.98971,0.04668,0.27182,0,0.00143595,0.00143595,0.00143595
16,1482.91,0.02841,0.21342,0.00911,0.69903,0.98924,0.04369,0.28225,0,0.00141945,0.00141945,0.00141945
17,1575.23,0.02669,0.21867,0.00848,0.70878,0.98879,0.0445,0.26119,0,0.00140295,0.00140295,0.00140295
18,1667.57,0.02817,0.22058,0.00872,0.69437,0.98893,0.04845,0.27109,0,0.00138644,0.00138644,0.00138644
19,1759.92,0.02732,0.22375,0.00863,0.70421,0.98943,0.04777,0.2635,0,0.00136994,0.00136994,0.00136994
20,1852.25,0.02774,0.22809,0.00859,0.7088,0.98892,0.04578,0.25598,0,0.00135344,0.00135344,0.00135344
21,1944.56,0.0268,0.20492,0.00879,0.69709,0.99034,0.0416,0.29777,0,0.00133693,0.00133693,0.00133693
